id,name,year,rating,certificate,duration,genre,votes,gross_income,directors_id,directors_name,stars_id,stars_name,description
tt6794990,Absentia,(2017–2020),7.2,TV-MA,60 min,"Crime, Drama, Mystery","15,273","42,402,632",Anonymous,nm0000000,"nm1065664,nm1738176,nm1337982,nm0293550","Stana Katic,Patrick Heusinger,Neil Jackson,Paul Freeman","After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders."
tt0285823,Once Upon a Time in Mexico,(2003),6.3,R,102 min,"Action, Crime, Thriller",161532,"56,359,780",nm0001675,Robert Rodriguez,"nm0000104,nm0000161,nm0000136,nm0000353","Antonio Banderas,Salma Hayek,Johnny Depp,Willem Dafoe","Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general."
tt0096708,Tales from the Crypt,(1989–1996),8.0,TV-MA,25 min,"Comedy, Crime, Fantasy","24,175","56,359,780",Anonymous,nm0000000,"nm0440885,nm0110735,nm0001208,nm0164682","John Kassir,Roy Brocksmith,Miguel Ferrer,Cam Clarke","Tales of horror based on the gruesome E.C. comic books of the 1950s presented by the legendary Crypt Keeper, a sinister ghoul obsessed with gallows humor and horrific puns."
tt4916630,Just Mercy,(2019),7.6,PG-13,137 min,"Biography, Crime, Drama","65,558","56,359,780",nm2308774,Destin Daniel Cretton,"nm0430107,nm0004937,nm0488953,nm11324875","Michael B. Jordan,Jamie Foxx,Brie Larson,Charlie Pye Jr.",World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.
tt5722298,Private Eyes,(2016–2021),7.3,TV-PG,43 min,"Comedy, Crime, Drama","4,722","56,359,780",Anonymous,nm0000000,"nm0000594,nm1120797,nm0281284,nm4119074","Jason Priestley,Cindy Sampson,Barry Flatman,Jordyn Negri",Former professional hockey player Matt Shade partners with private eye Angie Everett to solve crimes around Toronto.
tt5439812,Zola,(2020),6.5,R,86 min,"Comedy, Crime, Drama","13,149","56,359,780",nm1891632,Janicza Bravo,"nm3666749,nm2142336,nm1002609,nm6359527","Taylour Paige,Riley Keough,Nicholas Braun,Ari'el Stachel",A stripper named Zola embarks on a wild road trip to Florida.
tt1798684,Southpaw,(2015),7.3,R,124 min,"Action, Crime, Drama",234179,"52,421,953",nm0298807,Antoine Fuqua,"nm0350453,nm1046097,nm4802218,nm0001845","Jake Gyllenhaal,Rachel McAdams,Oona Laurence,Forest Whitaker","After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career."
tt3513548,Richard Jewell,(2019),7.5,R,131 min,"Biography, Crime, Drama","84,494","52,421,953",nm0000142,Clint Eastwood,"nm3236159,nm0005377,nm10263413,nm5573623","Paul Walter Hauser,Sam Rockwell,Brandon Stanley,Ryan Boz","Security guard Richard Jewell is an instant hero after foiling a bomb attack at the 1996 Atlanta Olympics, but his life becomes a nightmare when the FBI leaks to the media that he is a suspect in the case."
tt0244244,Swordfish,(2001),6.5,R,99 min,"Action, Crime, Thriller",186297,"69,772,969",nm0784061,Dominic Sena,"nm0000237,nm0413168,nm0000932,nm0000332","John Travolta,Hugh Jackman,Halle Berry,Don Cheadle","A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him."
tt1535109,Captain Phillips,(2013),7.8,PG-13,134 min,"Action, Biography, Crime",453186,"107,100,855",nm0339030,Paul Greengrass,"nm0000158,nm5831542,nm5831543,nm0001416","Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
tt5093026,Papillon,(I) (2017),7.2,R,133 min,"Adventure, Biography, Crime",73629,"2,335,896",nm1840064,Michael Noer,"nm0402271,nm4986118,nm0265457,nm4412040","Charlie Hunnam,Damijan Oklopdzic,Christopher Fairbank,Jason Ryan","Wrongfully convicted for murder, Henri Charriere forms an unlikely relationship with fellow inmate and quirky convicted counterfeiter, Louis Dega, in an attempt to escape from the notorious penal colony on Devil's Island."
tt0091474,Manhunter,(1986),7.2,R,120 min,"Crime, Mystery, Thriller",72883,"8,620,929",nm0000520,Michael Mann,"nm0676973,nm0002114,nm0000260,nm0004051","William Petersen,Kim Greist,Joan Allen,Brian Cox","Former FBI profiler Will Graham returns to service to pursue a deranged serial killer dubbed ""the Tooth Fairy"" by the media."
tt6077448,Sacred Games,(2018–2019),8.5,TV-MA,50 min,"Action, Crime, Drama","86,155","8,620,929",Anonymous,nm0000000,"nm0451307,nm1596350,nm4173131,nm9157672","Saif Ali Khan,Nawazuddin Siddiqui,Neeraj Kabi,Elnaaz Norouzi","A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm."
tt0107207,In the Name of the Father,(1993),8.1,R,133 min,"Biography, Crime, Drama",172630,"25,010,410",nm0006487,Jim Sheridan,"nm0000358,nm0000592,nm0188949,nm2535022","Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
tt11090458,Pretty Hard Cases,(2021– ),6.2,TV-14,0 min,"Comedy, Crime, Drama","1,700","25,010,410",Anonymous,nm0000000,"nm1692900,nm3166754,nm0611442,nm2123501","Meredith MacNeill,Adrienne C. Moore,Al Mukadam,Daren A. Herbert","""Pretty Hard Cases"" follows Guns and Gangs detective Sam and Drug Squad detective Kelly. By day, they are heroes in their particular way: skilled, tough, determined, and entertaining, fighting to do good in a broken system."
tt13304700,Snowdrop,(2021– ),8.2,TV-14,85 min,"Crime, Drama, Romance","9,067","25,010,410",Anonymous,nm0000000,"nm6857187,nm4111621,nm0359257,nm3739013","Jung Hae-In,Jisoo Kim,Ren Hanami,Yoo In-Na","Adapted from the handwritten notes of a man who escaped from a political prison camp in North Korea, Snowdrop is set against the backdrop of the 1987 Democracy Movement in South Korea."
tt11958610,Trigger Point,(2022– ),6.2,Not Certified,60 min,"Action, Crime, Drama","4,731","25,010,410",Anonymous,nm0000000,"nm0566049,nm11423814,nm0531229,nm2266493","Vicky McClure,Eric Shango,Cal MacAninch,Tom Stokes","Drama series following Lana Washington, an experienced bomb disposal officer working for the Metropolitan Police."
tt0181865,Traffic,(2000),7.6,R,147 min,"Crime, Drama, Thriller",206284,"124,115,725",nm0001752,Steven Soderbergh,"nm0000140,nm0001125,nm0001876,nm0889846","Michael Douglas,Benicio Del Toro,Catherine Zeta-Jones,Jacob Vargas","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
tt10327830,For Life,(2020–2021),7.6,TV-14,43 min,"Biography, Crime, Drama","8,115","124,115,725",Anonymous,nm0000000,"nm0991979,nm0890055,nm0117146,nm0592923","Nicholas Pinnock,Indira Varma,Joy Bryant,Dorian Missick",A prisoner becomes a lawyer and fights to overturn his life sentence for a crime he didn't commit.
tt1582457,The Borgias,(2011–2013),7.9,TV-MA,50 min,"Crime, Drama, History","50,941","124,115,725",Anonymous,nm0000000,"nm0000460,nm2957696,nm0334441,nm0838287","Jeremy Irons,François Arnaud,Holliday Grainger,Peter Sullivan","In the fifteenth century, Pope Alexander VI tries to control all power in Italy with the help of his several sons, through murder, intrigue, war, and marriage alliances."
tt1791528,Inherent Vice,(2014),6.6,R,148 min,"Comedy, Crime, Drama",103662,"8,110,975",nm0000759,Paul Thomas Anderson,"nm0001618,nm0000982,nm0005562,nm2239702","Joaquin Phoenix,Josh Brolin,Owen Wilson,Katherine Waterston","In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend."
tt2677722,City of Lies,(2018),6.4,R,112 min,"Biography, Crime, Drama",14404,"572,493",nm1026778,Brad Furman,"nm0000136,nm0001845,nm0403947,nm0130502","Johnny Depp,Forest Whitaker,Toby Huss,Dayton Callie",Russell Poole and Jack Jackson investigate the murder of rapper Notorious B.I.G.
tt0488120,Fracture,(2007),7.2,R,113 min,"Crime, Drama, Thriller",203588,"39,015,018",nm0387706,Gregory Hoblit,"nm0000164,nm0331516,nm0000657,nm0683253","Anthony Hopkins,Ryan Gosling,David Strathairn,Rosamund Pike",An attorney intending on climbing the career ladder toward success finds an unlikely opponent in a manipulative criminal he is trying to prosecute.
tt0109068,Airheads,(1994),6.1,PG-13,92 min,"Comedy, Crime, Music",51071,"5,370,000",nm0499724,Michael Lehmann,"nm0000409,nm0000114,nm0001191,nm0000394","Brendan Fraser,Steve Buscemi,Adam Sandler,Chris Farley",Three band members hoping for a big break head to a radio station to play their demo tape and wind up holding everyone hostage with plastic guns when the head D.J. refuses to play them.
tt10661302,We Hunt Together,(2020– ),6.9,TV-MA,45 min,"Crime, Drama, Thriller","1,564","5,370,000",Anonymous,nm0000000,"nm0616990,nm1959501,nm5795508,nm0672621","Eve Myles,Babou Ceesay,Hermione Corfield,Vicki Pepperdine","A gripping twist on a classic cat-and-mouse story, this British drama series explores the intoxication of sexual attraction and the dangerous power of emotional manipulation as two conflicted detectives track down a pair of deadly killers."
tt0107554,Menace II Society,(1993),7.5,R,97 min,"Crime, Drama, Thriller",58048,"27,900,000","nm0400436,nm0400441","Albert Hughes,Allen Hughes","nm0877928,nm0005478,nm0453550,nm0865084","Tyrin Turner,Larenz Tate,June Kyoto Lu,Toshi Toda",A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.
tt9016974,Synchronic,(2019),6.2,R,102 min,"Crime, Drama, Horror","29,328","27,900,000","nm1918140,nm1823264","Justin Benson,Aaron Moorhead","nm1107001,nm1946193,nm1051221,nm3304678","Anthony Mackie,Jamie Dornan,Katie Aselton,Ally Ioannides","Two New Orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects."
tt9179552,Dr. Death,(2021),7.6,TV-MA,403 min,"Crime, Drama, Thriller","11,937","27,900,000",Anonymous,nm0000000,"nm0005045,nm0000225,nm0000285,nm1941237","Joshua Jackson,Christian Slater,Alec Baldwin,Dominic Burgess","As patients entering the operating room of Dr. Christopher Duntsch for routine spinal surgeries start leaving permanently maimed or end up dead, two fellow surgeons and a young Assistant District Attorney set out to stop him."
tt0080365,American Gigolo,(1980),6.3,R,117 min,"Crime, Drama, Mystery",25417,"23,000,000",nm0001707,Paul Schrader,"nm0000152,nm0001381,nm0001185,nm0887684","Richard Gere,Lauren Hutton,Hector Elizondo,Nina van Pallandt","A Los Angeles male escort, who mostly caters to an older female clientèle, is accused of a murder which he did not commit."
tt2561572,Get Hard,(2015),6.0,R,100 min,"Comedy, Crime",135038,"90,411,453",nm1000113,Etan Cohen,"nm0002071,nm0366389,nm1555340,nm1939267","Will Ferrell,Kevin Hart,Alison Brie,T.I.","When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars."
tt0197182,Third Watch,(1999–2005),7.9,TV-14,44 min,"Action, Crime, Drama","10,028","90,411,453",Anonymous,nm0000000,"nm0068117,nm0837175,nm0005556,nm0697062","Coby Bell,Skipp Sudduth,Jason Wiles,Molly Price","The exploits of a group of men and women who serve New York City as police officers, firemen, and paramedics in the fictional 55th Precinct."
tt2654580,Almost Human,(2013–2014),7.9,TV-14,60 min,"Action, Crime, Drama","50,063","90,411,453",Anonymous,nm0000000,"nm0881631,nm1013003,nm1310368,nm0188871","Karl Urban,Michael Ealy,Minka Kelly,Mackenzie Crook","In a not-so-distant future, a human cop and an android partner team up to protect and serve."
tt0095631,Midnight Run,(1988),7.5,R,126 min,"Action, Comedy, Crime",85449,"38,413,606",nm0000976,Martin Brest,"nm0000134,nm0001301,nm0001433,nm0039226","Robert De Niro,Charles Grodin,Yaphet Kotto,John Ashton","A bounty hunter pursues a former Mafia accountant who is also being chased by a rival bounty hunter, the F.B.I., and his old mob boss after jumping bail."
tt0094291,Wall Street,(1987),7.3,R,126 min,"Crime, Drama",154148,"43,848,100",nm0000231,Oliver Stone,"nm0000221,nm0000140,nm0876645,nm0184429","Charlie Sheen,Michael Douglas,Tamara Tunie,Franklin Cover","A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing."
tt7985576,The Serpent,(2021),7.6,TV-MA,458 min,"Crime, Drama, Thriller","42,256","43,848,100",Anonymous,nm0000000,"nm2588665,nm6247071,nm1982510,nm5166444","Tahar Rahim,Billy Howle,Jenna Coleman,Ellie Bamber","The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail."
tt0221073,Chopper,(2000),7.1,R,94 min,"Biography, Crime, Drama",38624,"234,259",nm0231596,Andrew Dominik,"nm0051509,nm0528539,nm0173194,nm0102771","Eric Bana,Simon Lyndon,Vince Colosimo,Renée Brack","Chopper tells the intense story of Mark ""Chopper"" Read, a legendary criminal who wrote his autobiography while serving a jail sentence in prison. His book, ""From the Inside"", upon which the film is based, was a best-seller."
tt1931533,Seven Psychopaths,(2012),7.1,R,110 min,"Comedy, Crime",254851,"15,024,049",nm1732981,Martin McDonagh,"nm0268199,nm0000437,nm0005377,nm0000686","Colin Farrell,Woody Harrelson,Sam Rockwell,Christopher Walken",A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.
tt0094608,The Accused,(1988),7.1,R,111 min,"Crime, Drama",35575,"32,069,318",nm0438279,Jonathan Kaplan,"nm0000534,nm0000149,nm0183464,nm0744235","Kelly McGillis,Jodie Foster,Bernie Coulson,Leo Rossi","After a young woman suffers a brutal gang rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack."
tt0093822,Raising Arizona,(1987),7.3,PG-13,94 min,"Comedy, Crime",137953,"22,847,564","nm0001054,nm0001053","Joel Coen,Ethan Coen","nm0000115,nm0000456,nm0934254,nm0000422","Nicolas Cage,Holly Hunter,Trey Wilson,John Goodman","When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated."
tt0496806,Ocean's Thirteen,(2007),6.9,PG-13,122 min,"Crime, Thriller",342479,"117,154,724",nm0001752,Steven Soderbergh,"nm0000123,nm0000093,nm0000354,nm0544067","George Clooney,Brad Pitt,Matt Damon,Michael Mantell","Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff."
tt0137494,Entrapment,(1999),6.3,PG-13,113 min,"Action, Crime, Romance",115285,"87,704,396",nm0000750,Jon Amiel,"nm0000125,nm0001876,nm0000609,nm0001599","Sean Connery,Catherine Zeta-Jones,Ving Rhames,Will Patton",An insurance agent is sent by her employer to track down and help capture an art thief.
tt0395584,The Devil's Rejects,(2005),6.7,R,107 min,"Crime, Horror, Western",99334,"17,044,981",nm0957772,Rob Zombie,"nm0354085,nm0600667,nm0608405,nm0001235","Sid Haig,Sheri Moon Zombie,Bill Moseley,William Forsythe","The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target."
tt0110729,Once Were Warriors,(1994),7.9,R,102 min,"Crime, Drama",34111,"2,201,126",nm0848414,Lee Tamahori,"nm0654240,nm0607325,nm0449828,nm0032810","Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga",A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
tt7920978,Persona,(2018),9.1,TV-MA,65 min,"Crime, Drama, Mystery","40,011","2,201,126",Anonymous,nm0000000,"nm0082211,nm1754048,nm6034003,nm3427444","Haluk Bilginer,Cansu Dere,Metin Akdülger,Sebnem Bozoklu",A man diagnosed with Alzheimer's decides to punish criminals.
tt0430105,Four Brothers,(2005),6.8,R,109 min,"Action, Crime, Drama",145668,"74,494,381",nm0005436,John Singleton,"nm0000242,nm0879085,nm0071275,nm1330560","Mark Wahlberg,Tyrese Gibson,André 3000,Garrett Hedlund","When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems."
tt0412175,Medium,(2005–2011),7.1,TV-14,60 min,"Crime, Drama, Fantasy","28,145","74,494,381",Anonymous,nm0000000,"nm0000099,nm0762153,nm0916617,nm1100839","Patricia Arquette,Miguel Sandoval,Jake Weber,Sofia Vassilieva",Suburban mom Allison DuBois attempts to balance family life with solving mysteries using her special gift. The dead send her visions of their deaths or other crimes while she sleeps.
tt0109424,Chungking Express,(1994),8.0,PG-13,102 min,"Comedy, Crime, Drama",78901,"600,200",nm0939182,Kar-Wai Wong,"nm0510857,nm0437580,nm0504897,nm0910947","Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong","Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
tt4572514,Patriots Day,(2016),7.3,R,133 min,"Action, Crime, Drama",101564,"31,886,361",nm0000916,Peter Berg,"nm0000242,nm1157358,nm0799777,nm0000422","Mark Wahlberg,Michelle Monaghan,J.K. Simmons,John Goodman","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible."
tt3190448,Metástasis,(2014),2.2,TV-MA,60 min,"Crime, Drama, Thriller","2,696",0,Anonymous,nm0000000,"nm0874197,nm1426855,nm0721417,nm1397476","Diego Trujillo,Roberto Urbina,Sandra Reyes,Constanza Camelo","A Colombian remake of the U.S. TV show Breaking Bad. After he is diagnosed with cancer, Walter Blanco teams up with José Miguel Rosas to manufacture and sell crystal meth."
tt1430509,Inspector George Gently,(2007–2017),8.1,TV-MA,89 min,"Crime, Drama, Mystery","7,090",0,Anonymous,nm0000000,"nm0789864,nm0408846,nm2199894,nm3287529","Martin Shaw,Lee Ingleby,Simon Hubbard,Lisa McGrillis","With the help of DS John Bacchus, Inspector George Gently spends his days bringing to justice members of the criminal underworld who are unfortunate enough to have the intrepid investigator assigned to their cases."
tt11471892,Landscapers,(2021),7.0,TV-MA,193 min,"Comedy, Crime, Drama","13,905",0,Anonymous,nm0000000,"nm1469236,nm0000667,nm2359658,nm9412993","Olivia Colman,David Thewlis,Kate O'Flynn,Dipo Ola",A devoted and mild-mannered British couple become the focus of an extraordinary investigation when two dead bodies are discovered in the back garden of a house in England.
tt0067116,The French Connection,(1971),7.7,R,104 min,"Action, Crime, Drama",121401,"15,630,710",nm0001243,William Friedkin,"nm0000432,nm0001702,nm0721073,nm0516215","Gene Hackman,Roy Scheider,Fernando Rey,Tony Lo Bianco","A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
tt1855199,End of Watch,(2012),7.6,R,109 min,"Action, Adventure, Crime",245144,"41,003,371",nm0043742,David Ayer,"nm0350453,nm0671567,nm0447695,nm1065229","Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves."
tt2002718,Machete Kills,(2013),5.6,R,107 min,"Action, Crime, Thriller",78867,"8,008,161",nm0001675,Robert Rodriguez,"nm0001803,nm0891786,nm0000154,nm0004695","Danny Trejo,Alexa PenaVega,Mel Gibson,Jessica Alba",The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.
tt3045616,Mortdecai,(2015),5.5,R,107 min,"Action, Adventure, Comedy",72737,"7,605,668",nm0462895,David Koepp,"nm0000136,nm0000569,nm0000191,nm1601397","Johnny Depp,Gwyneth Paltrow,Ewan McGregor,Olivia Munn","Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold."
tt2446042,Taken 3,(2014),6.0,PG-13,108 min,"Action, Crime, Thriller",191070,"89,256,424",nm0576298,Olivier Megaton,"nm0000553,nm0001845,nm1192254,nm0000463","Liam Neeson,Forest Whitaker,Maggie Grace,Famke Janssen","Accused of a ruthless murder he never committed or witnessed, Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name."
tt6905756,Pagan Peak,(2018– ),8.0,TV-MA,43 min,"Crime, Drama, Mystery","6,582","89,256,424",Anonymous,nm0000000,"nm0421799,nm0644366,nm4989871,nm5683296","Julia Jentsch,Nicholas Ofczarek,Franz Hartwig,Dominic Marcus Singer","German Officer Stocker and cynical, uncommitted Austrian Inspector Winter work together to catch a serial killer who leaves messages and stylizes himself as Krampus, a folkloric demonic creature that must punish society for its sins."
tt0171804,Boys Don't Cry,(1999),7.5,R,118 min,"Biography, Crime, Drama",97319,"11,533,945",nm0005303,Kimberly Peirce,"nm0005476,nm0001721,nm0765597,nm0786639","Hilary Swank,Chloë Sevigny,Peter Sarsgaard,Brendan Sexton III","A young man named Brandon Teena navigates love, life, and being transgender in rural Nebraska."
tt1552112,The Glades,(2010–2013),7.4,TV-14,60 min,"Action, Crime, Drama","13,453","11,533,945",Anonymous,nm0000000,"nm1432956,nm0760989,nm0326988,nm0908436","Matt Passmore,Kiele Sanchez,Carlos Gómez,Jordan Wall",A former Chicago cop moves to a small Florida town and joins the state police.
tt0313443,Out of Time,(I) (2003),6.5,PG-13,105 min,"Crime, Drama, Mystery",60816,"40,905,277",nm0002083,Carl Franklin,"nm0000243,nm0005125,nm0578949,nm0001002","Denzel Washington,Sanaa Lathan,Eva Mendes,Dean Cain",A Florida police chief must solve a vicious double homicide before he himself falls under suspicion.
tt0096320,Twins,(1988),6.1,PG,107 min,"Comedy, Crime",123538,"111,936,400",nm0718645,Ivan Reitman,"nm0000216,nm0000362,nm0000593,nm0916050","Arnold Schwarzenegger,Danny DeVito,Kelly Preston,Chloe Webb","A physically perfect but innocent man goes in search of his long-lost twin brother, who is short, a womanizer, and small-time crook."
tt0112461,The Basketball Diaries,(1995),7.3,R,102 min,"Biography, Crime, Drama",110224,"2,424,439",nm0436284,Scott Kalvert,"nm0000138,nm0000966,nm0812427,nm0534944","Leonardo DiCaprio,Lorraine Bracco,Marilyn Sokol,James Madio",A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.
tt0119167,Funny Games,(1997),7.5,Not Rated,108 min,"Crime, Drama, Thriller","73,620","2,424,439",nm0359734,Michael Haneke,"nm0521443,nm0618057,nm0295823,nm0317385","Susanne Lothar,Ulrich Mühe,Arno Frisch,Frank Giering","Two violent young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement."
tt2461150,Masterminds,(I) (2016),5.8,PG-13,95 min,"Biography, Comedy, Crime",55346,"17,356,894",nm0381478,Jared Hess,"nm0302108,nm1325419,nm0005562,nm5155666","Zach Galifianakis,Kristen Wiig,Owen Wilson,Ross Kimball",A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.
tt0479884,Crank,(2006),6.9,R,88 min,"Action, Crime, Thriller",247849,"27,829,874","nm0004410,nm0962729","Mark Neveldine,Brian Taylor","nm0005458,nm0005442,nm0764430,nm1504678","Jason Statham,Amy Smart,Carlos Sanz,Jose Pablo Cantillo",Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.
tt6079516,I See You,(II) (2019),6.8,R,98 min,"Crime, Drama, Horror","48,090","27,829,874",nm1726691,Adam Randall,"nm0000166,nm0855103,nm4977122,nm6237346","Helen Hunt,Jon Tenney,Owen Teague,Judah Lewis",Strange occurrences plague a small town detective and his family as he investigates the disappearance of a young boy.
tt1206543,Out of the Furnace,(2013),6.7,R,116 min,"Action, Crime, Drama",115153,"11,326,836",nm0178376,Scott Cooper,"nm0000288,nm0000729,nm0757855,nm0000437","Christian Bale,Casey Affleck,Zoe Saldana,Woody Harrelson","When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice."
tt0047708,Alfred Hitchcock Presents,(1955–1962),8.5,TV-14,25 min,"Comedy, Crime, Drama","17,026","11,326,836",Anonymous,nm0000000,"nm0000033,nm0878826,nm0002369,nm0386877","Alfred Hitchcock,Harry Tyler,John Williams,Patricia Hitchcock","Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not."
tt10151054,The Quarry,(2020),5.4,R,98 min,"Crime, Mystery, Thriller",3162,"2,114",nm1802374,Scott Teems,"nm0924154,nm0788335,nm1503432,nm2925352","Shea Whigham,Michael Shannon,Catalina Sandino Moreno,Bobby Soto","A drifter (Shea Whigham) kills a traveling preacher and takes his place at a small-town church, but the police chief (Michael Shannon) suspects foul play."
tt0061418,Bonnie and Clyde,(1967),7.7,R,111 min,"Action, Biography, Crime","111,859","2,114",nm0671957,Arthur Penn,"nm0000886,nm0001159,nm0689488,nm0000432","Warren Beatty,Faye Dunaway,Michael J. Pollard,Gene Hackman","Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
tt9072202,Believe Me: The Abduction of Lisa McVey,(2018 TV Movie),7.1,TV-14,87 min,"Biography, Crime, Drama","12,220","2,114",nm0233002,Jim Donovan,"nm3353780,nm0004895,nm1160472,nm6847929","Katie Douglas,David James Elliott,Rossif Sutherland,Amanda Arcuri","On the night she plans on taking her own life, a 17-year-old girl is kidnapped and finds herself fighting to stay alive. She gets released, but when she returns home, no one believes her story except for one detective."
tt0285370,The Guardian,(2001–2004),7.4,TV-PG,60 min,"Crime, Drama","5,279","2,114",Anonymous,nm0000000,"nm0048932,nm0742165,nm0768620,nm0001056","Simon Baker,Alan Rosenberg,Raphael Sbarge,Dabney Coleman","Nick Fallin is a hotshot lawyer working at his father's ultrasuccessful Pittsburgh law firm. Unfortunately, the high life has gotten the best of Nick."
tt1600196,The Drop,(2014),7.0,R,106 min,"Crime, Drama, Thriller",151340,"10,724,389",nm1742427,Michaël R. Roskam,"nm0362766,nm0636426,nm0001254,nm0774386","Tom Hardy,Noomi Rapace,James Gandolfini,Matthias Schoenaerts","Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost."
tt0113247,La Haine,(1995),8.1,Not Rated,98 min,"Crime, Drama",169622,"309,811",nm0440913,Mathieu Kassovitz,"nm0001993,nm0468003,nm0846548,nm0315760","Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili",24 hours in the lives of three young men in the French suburbs the day after a violent riot.
tt13444408,Kin,(2021– ),7.5,TV-MA,0 min,"Crime, Drama","4,675","309,811",Anonymous,nm0000000,"nm1214435,nm7434342,nm0318821,nm1631384","Charlie Cox,Clare Dunne,Aidan Gillen,Emmett J Scanlan",Kin tells the story of a fictional Dublin family embroiled in gangland war and speaks to the enduring unbreakable bonds of blood and family.
tt1175709,All Good Things,(2010),6.3,R,101 min,"Crime, Drama, Mystery",56142,"578,382",nm1285613,Andrew Jarecki,"nm0331516,nm0000379,nm0001449,nm1143816","Ryan Gosling,Kirsten Dunst,Frank Langella,Lily Rabe","David Marks, a real estate scion, is suspected of killing his wife Katie, who disappeared in 1982."
tt0039631,Monsieur Verdoux,(1947),7.8,Passed,124 min,"Comedy, Crime, Drama",17485,"325,000",nm0000122,Charles Chaplin,"nm0000122,nm0180900,nm0734467,nm0507673","Charles Chaplin,Mady Correll,Allison Roddan,Robert Lewis","A suave but cynical man supports his family by marrying and murdering rich women for their money, but the job has some occupational hazards."
